id;nomSite;1;2;3;4;5;6;7;8;9;10;11;12
22;CAMP DE LA VALBONNE;33;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980
23;BELLEGARDE-SUR-VALSERINE;45;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700
24;BELLEY;56;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360
25;BOURG EN BRESSE HP;23;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380
26;CEYZERIAT;1;60;60;60;60;60;60;60;60;60;60;60
27;COLIGNY;10;600;600;600;600;600;600;600;600;600;600;600
28;COLLONGES;51;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060
29;ST GENIS POUILLY - TECHNOPARC;95;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700
30;CULOZ;2;120;120;120;120;120;120;120;120;120;120;120
31;DIVONNE LES BAINS;2;120;120;120;120;120;120;120;120;120;120;120
32;FEILLENS;4;240;240;240;240;240;240;240;240;240;240;240
33;FERNEY VOLTAIRE;8;480;480;480;480;480;480;480;480;480;480;480
34;GEX;98;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880
35;HAUTEVILLE-LOMPNES;5;300;300;300;300;300;300;300;300;300;300;300
36;IZERNORE;12;720;720;720;720;720;720;720;720;720;720;720
37;JASSANS RIOTTIER;78;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680
38;LAGNIEU;63;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780
39;LAGNIEU CC;12;720;720;720;720;720;720;720;720;720;720;720
40;LELEX;5;300;300;300;300;300;300;300;300;300;300;300
41;LHUIS;65;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900
42;MEXIMIEUX CC;25;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
43;MEZERIAT;46;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760
44;MONTLUEL;61;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660
45;MONTREVEL EN BRESSE;53;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180
46;PERONNAS;85;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100
47;PONT D AIN;29;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740
48;PONT DE VAUX;33;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980
49;PONT DE VEYLE;45;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700
50;PREVESSIN CERN;56;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360
51;PREVESSIN MOENS;23;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380
52;ST ANDRE DE CORCY;1;60;60;60;60;60;60;60;60;60;60;60
53;BPX ST DENIS EN BUGEY (AMBE);10;600;600;600;600;600;600;600;600;600;600;600
54;ST ETIENNE DU BOIS;51;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060
55;SAINT GENIS POUILLY BP;95;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700
56;ST MAURICE DE BEYNOST;2;120;120;120;120;120;120;120;120;120;120;120
57;ST RAMBERT EN BUGEY;2;120;120;120;120;120;120;120;120;120;120;120
58;ST TRIVIER DE COURTES;4;240;240;240;240;240;240;240;240;240;240;240
59;SERRIERES DE BRIORD;8;480;480;480;480;480;480;480;480;480;480;480
60;SERRIERES DE BRIORD GARAGE;98;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880
61;TENAY;5;300;300;300;300;300;300;300;300;300;300;300
62;THOIRY;12;720;720;720;720;720;720;720;720;720;720;720
63;THOISSEY;78;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680
64;VIRIEU LE GRAND;63;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780
65;VONNAS;12;720;720;720;720;720;720;720;720;720;720;720
66;BOURG EN BRESSE ARSONVAL;5;300;300;300;300;300;300;300;300;300;300;300
67;GEX PDC;65;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900
68;GEX BP;25;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
69;MONTREVEL EN BRESSE PDC;46;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760
70;CULOZ PDC;61;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660
71;BOURG LOCAUX SYNDICAUX F.O.;53;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180
72;CHATILLON SUR CHALARONNE;85;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100
73;TREVOUX;29;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740
74;PONCIN;33;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980
75;AMBERIEU CENTRE D'AFFAIRES;45;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700
76;MIRIBEL;56;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360
77;OYONNAX;23;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380
78;BPX OYONNAX;1;60;60;60;60;60;60;60;60;60;60;60
79;ARS SUR FORMANS GAB;10;600;600;600;600;600;600;600;600;600;600;600
80;ANNONAY EUROPE CARNOT BPX;51;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060
81;TOURNON QUAI FARCONNET;95;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700
82;AUBENAS CLC;2;120;120;120;120;120;120;120;120;120;120;120
83;VILLENEUVE DE BERG;2;120;120;120;120;120;120;120;120;120;120;120
84;TOURNON SUR RHONE CDIS;4;240;240;240;240;240;240;240;240;240;240;240
85;LALEVADE D ARDECHE CDIS;8;480;480;480;480;480;480;480;480;480;480;480
86;DAVEZIEUX-ANNONAY CDIS;98;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880
87;GUILHERAND GRANGES GAB;5;300;300;300;300;300;300;300;300;300;300;300
88;LA VOULTE PDC;12;720;720;720;720;720;720;720;720;720;720;720
89;COUCOURON CDIS;78;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680
90;VALS LES BAINS BP;63;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780
91;OLLIERES  (LES);12;720;720;720;720;720;720;720;720;720;720;720
92;ANNONAY LEVERT;5;300;300;300;300;300;300;300;300;300;300;300
93;ST PAUL LE JEUNE;65;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900
94;JAUJAC BP;25;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
95;SAINT SAUVEUR DE MONTAGUT PDC;46;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760
96;BEAGE (LE);61;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660
97;BEAUCHASTEL;53;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180
98;BOULIEU LES ANNONAY;85;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100
99;BOURG ST ANDEOL;29;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740
100;CHEYLARD  (LE);33;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980
101;COUCOURON;45;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700
102;DAVEZIEUX;56;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360
103;GUILHERAND-GRANGES;23;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380
104;JOYEUSE;1;60;60;60;60;60;60;60;60;60;60;60
105;LABLACHERE BPX;10;600;600;600;600;600;600;600;600;600;600;600
106;LALEVADE D'ARDECHE;51;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060
107;LAMASTRE;95;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700
108;LAMASTRE CC;2;120;120;120;120;120;120;120;120;120;120;120
109;LARGENTIERE;2;120;120;120;120;120;120;120;120;120;120;120
110;MONTPEZAT SOUS BAUZON;4;240;240;240;240;240;240;240;240;240;240;240
111;PEAUGRES BPX;8;480;480;480;480;480;480;480;480;480;480;480
112;POUZIN (LE);98;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880
113;PRIVAS;5;300;300;300;300;300;300;300;300;300;300;300
114;RUOMS;12;720;720;720;720;720;720;720;720;720;720;720
115;ST AGREVE;78;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680
116;ST ETIENNE DE FONTBELLON BPX;63;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780
117;ST FELICIEN;12;720;720;720;720;720;720;720;720;720;720;720
118;ST JEAN DE MUZOLS BPX;5;300;300;300;300;300;300;300;300;300;300;300
119;ST PERAY BPX;65;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900
120;ST PERAY CDIST;25;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
121;ST PRIVAT BPX;46;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760
122;SATILLIEU;61;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660
123;SERRIERES;53;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180
124;TEIL (LE) HP;85;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100
125;THUEYTS;29;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740
126;VALGORGE BPX;33;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980
127;VALLON PONT D'ARC;45;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700
128;VANS (LES);56;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360
129;VERNOUX EN VIVARAIS;23;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380
130;VOULTE SUR RHONE (LA);1;60;60;60;60;60;60;60;60;60;60;60
131;VOGUE GAB;10;600;600;600;600;600;600;600;600;600;600;600
132;ROSIERES PDC;51;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060
133;ANTRAIGUES SUR VOLANE GAB;95;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700
134;AUBENAS CHAMPS DE MARS;2;120;120;120;120;120;120;120;120;120;120;120
135;ANNEYRON;2;120;120;120;120;120;120;120;120;120;120;120
136;MONTELIMAR ST JAMES BPX;4;240;240;240;240;240;240;240;240;240;240;240
137;VALENCE VICTOR HUGO;8;480;480;480;480;480;480;480;480;480;480;480
138;ROMANS CLC;98;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880
139;ROMANS LA MONNAIE BPX;5;300;300;300;300;300;300;300;300;300;300;300
140;PIERRELATTE CC;12;720;720;720;720;720;720;720;720;720;720;720
141;LORIOL LIVRON CDIS;78;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680
142;HAUTERIVES CDIS;63;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780
143;GRIGNAN CC;12;720;720;720;720;720;720;720;720;720;720;720
144;LAVEYRON PDC;5;300;300;300;300;300;300;300;300;300;300;300
145;SEDERON BP;65;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900
146;MONTELIMAR PPDC;25;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
147;VALENCE EUROPE BP;46;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760
148;BEAUMONT PPDC;61;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660
149;BOURG LES VALENCE BP;53;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180
150;HOSTUN BP;85;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100
151;PIERRELATTE BP;29;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740
152;ETOILE SUR RHONE BP;33;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980
153;ALIXAN ROVALTAIN;45;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700
154;HAUTERIVES BP;56;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360
155;ST VALLIER;23;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380
156;BATIE ROLLAND (LA) BPX;1;60;60;60;60;60;60;60;60;60;60;60
157;BEAUMONT LES VALENCE;10;600;600;600;600;600;600;600;600;600;600;600
158;BEGUDE DE MAZENC (LA);51;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060
159;BOURDEAUX BPX;95;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700
160;BOURG DE PEAGE;2;120;120;120;120;120;120;120;120;120;120;120
161;BUIS LES BARONNIES;2;120;120;120;120;120;120;120;120;120;120;120
162;CHABEUIL;4;240;240;240;240;240;240;240;240;240;240;240
163;CHAPELLE EN VERCORS (LA);8;480;480;480;480;480;480;480;480;480;480;480
164;CHATEAUNEUF DE GALAURE;98;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880
165;CHATEAUNEUF DU RHONE BPX;5;300;300;300;300;300;300;300;300;300;300;300
166;CHATUZANGE LE GOUBET;12;720;720;720;720;720;720;720;720;720;720;720
167;CLEON D ANDRAN;78;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680
168;CREST;63;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780
169;DIE;12;720;720;720;720;720;720;720;720;720;720;720
170;DIEULEFIT;5;300;300;300;300;300;300;300;300;300;300;300
171;DONZERE;65;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900
172;GRANE BPX;25;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
173;SAILLANS PDC;46;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760
174;LIVRON SUR DROME;61;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660
175;LORIOL SUR DROME;53;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180
176;LUC EN DIOIS;85;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100
177;MONTELIER BPX;29;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740
178;MONTELIMAR EUROPE;33;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980
179;MONTMEYRAN BPX;45;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700
180;MOURS SAINT EUSEBE;56;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360
181;NYONS;23;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380
182;PONT DE L ISERE BPX;1;60;60;60;60;60;60;60;60;60;60;60
183;PORTES LES VALENCE;10;600;600;600;600;600;600;600;600;600;600;600
184;REMUZAT;51;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060
185;ROCHE DE GLUN;95;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700
186;ROMANS SUR ISERE;2;120;120;120;120;120;120;120;120;120;120;120
187;ST DONAT SUR L HERBASSE;2;120;120;120;120;120;120;120;120;120;120;120
188;ST JEAN EN ROYANS;4;240;240;240;240;240;240;240;240;240;240;240
189;ST MARCEL LES VALENCE;8;480;480;480;480;480;480;480;480;480;480;480
190;ST RAMBERT D ALBON;98;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880
191;ST SORLIN EN VALLOIRE;5;300;300;300;300;300;300;300;300;300;300;300
192;SAOU BPX;12;720;720;720;720;720;720;720;720;720;720;720
193;VALENCE LE PLAN DELOC;78;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680
194;SAULCE SUR RHONE BPX;63;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780
195;SAUZET;12;720;720;720;720;720;720;720;720;720;720;720
196;SUZE LA ROUSSE BPX;5;300;300;300;300;300;300;300;300;300;300;300
197;TAULIGNAN;65;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900
198;VALENCE CHAMPIONNET;25;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
199;VALENCE ROSSINI;46;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760
200;VALENCE DSEM;61;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660
201;VALENCE PPDC MF;53;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180
202;DPD SAINT-RAMBERT-D'ALBON;85;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100
203;ST PAUL TROIS CHATEAUX DELOC;29;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740
204;VALENCE HERRIOT;33;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980
205;MONTELIMAR PRACOMPTAL BPX;45;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700
206;TAIN L HERMITAGE;56;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360
207;VILLARD DE LANS PDC1;23;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380
208;LES ABRETS;1;60;60;60;60;60;60;60;60;60;60;60
209;LA VERPILLIERE;10;600;600;600;600;600;600;600;600;600;600;600
210;GRENOBLE BAJATIERE;51;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060
211;VIENNE CDIS;95;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700
212;GRENOBLE ALSACE LORRAINE;2;120;120;120;120;120;120;120;120;120;120;120
213;SEYSSINET;2;120;120;120;120;120;120;120;120;120;120;120
214;VIENNE ESTRESSIN;4;240;240;240;240;240;240;240;240;240;240;240
215;VIZILLE GARAGE;8;480;480;480;480;480;480;480;480;480;480;480
216;ALLEVARD;98;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880
217;GRENOBLE STALINGRAD;5;300;300;300;300;300;300;300;300;300;300;300
218;LE GRAND LEMPS CDIS;12;720;720;720;720;720;720;720;720;720;720;720
219;GRENOBLE JEAN PERROT;78;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680
220;SASSENAGE CTC;63;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780
221;BRIGNOUD CDIS;12;720;720;720;720;720;720;720;720;720;720;720
222;BOURG D'OISANS CDIS;5;300;300;300;300;300;300;300;300;300;300;300
223;MEYLAN CC;65;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900
224;ST MAURICE L EXIL CC;25;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
225;ALPE D'HUEZ;46;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760
226;LA COTE ST ANDRE CC;61;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660
227;PONT DE CHERUY CC;53;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180
228;SAINT JEAN DE SOUDAIN CDIS;85;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100
229;LA MURE CC;29;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740
230;ST EGREVE CC;33;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980
231;PONT EVEQUE CC;45;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700
232;MOIRANS;56;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360
233;SALAISE SUR SANNE BP;23;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380
234;ST GEORGES D ESPERANCHE;1;60;60;60;60;60;60;60;60;60;60;60
235;EYBENS PPDC;10;600;600;600;600;600;600;600;600;600;600;600
236;ST MARTIN LE VINOUX BP;51;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060
237;CROLLES BP;95;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700
238;CHASSE SUR RHONE BP;2;120;120;120;120;120;120;120;120;120;120;120
239;DIEMOZ BP;2;120;120;120;120;120;120;120;120;120;120;120
240;ST EGREVE BP;4;240;240;240;240;240;240;240;240;240;240;240
241;LE TOUVET;8;480;480;480;480;480;480;480;480;480;480;480
242;BOURGOIN JALLIEU (PAB PPDC);98;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880
243;RENAGE;5;300;300;300;300;300;300;300;300;300;300;300
244;GRENOBLE ALPES CONGRES;12;720;720;720;720;720;720;720;720;720;720;720
245;CREMIEU VILLEMOIRIEU;78;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680
246;LE TOUVET (DELOCALISATION);63;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780
247;MONTBONNOT-D3C;12;720;720;720;720;720;720;720;720;720;720;720
248;SAINT MARCELLIN PDC;5;300;300;300;300;300;300;300;300;300;300;300
249;GIERES MEZZO;65;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900
250;BEAUREPAIRE;25;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
251;BEAUREPAIRE GARAGE;46;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760
252;BIOL;61;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660
253;BOURGOIN PAL;53;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180
254;BRIE ET ANGONNES;85;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100
255;CHAMP SUR DRAC BP;29;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740
256;CHARAVINES;33;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980
257;CHARVIEU CHAVAGNEUX;45;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700
258;SEYSSINET LOCAL SYNDICAT;56;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360
259;COTE ST ANDRE;23;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380
260;CREMIEU;1;60;60;60;60;60;60;60;60;60;60;60
261;DOMENE;10;600;600;600;600;600;600;600;600;600;600;600
262;ECHIROLLES  JEAN JAURES;51;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060
263;EYBENS;95;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700
264;FONTAINE;2;120;120;120;120;120;120;120;120;120;120;120
265;FROGES;2;120;120;120;120;120;120;120;120;120;120;120
266;GONCELIN;4;240;240;240;240;240;240;240;240;240;240;240
267;LE GRAND LEMPS;8;480;480;480;480;480;480;480;480;480;480;480
268;HEYRIEUX;98;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880
269;PFC ALPES;5;300;300;300;300;300;300;300;300;300;300;300
270;GRENOBLE PPDC MF;12;720;720;720;720;720;720;720;720;720;720;720
271;MENS;78;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680
272;MEYLAN VERCORS;63;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780
273;MOIRANS;12;720;720;720;720;720;720;720;720;720;720;720
274;MONESTIER DE CLERMONT;5;300;300;300;300;300;300;300;300;300;300;300
275;MONTALIEU VERCIEU;65;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900
276;MONTALIEU VERCIEU GARAGE;25;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
277;MONTBONNOT ST MARTIN;46;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760
278;LES DEUX ALPES;61;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660
279;MORESTEL;53;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180
280;LA MOTTE D AVEILLANS;85;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100
281;LA MURE;29;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740
282;GRENOBLE REFLETS DU VERCORS;33;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980
283;GRENOBLE ALBERT 1ER;45;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700
284;PEAGE DE ROUSSILLON;56;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360;3360
285;PIN;23;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380;1380
286;PONTCHARRA;1;60;60;60;60;60;60;60;60;60;60;60
287;PONT DE BEAUVOISIN;10;600;600;600;600;600;600;600;600;600;600;600
288;PONT DE CHERUY;51;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060;3060
289;LE PONT DE CLAIX;95;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700;5700
290;PONT EVEQUE;2;120;120;120;120;120;120;120;120;120;120;120
291;PONT EN ROYANS;2;120;120;120;120;120;120;120;120;120;120;120
292;RIVES SUR FURE;4;240;240;240;240;240;240;240;240;240;240;240
293;ST JEAN DE BOURNAY PDC;8;480;480;480;480;480;480;480;480;480;480;480
294;ROCHES DE CONDRIEU;98;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880;5880
295;RIVES ILOT FACTEUR;5;300;300;300;300;300;300;300;300;300;300;300
296;ROUSSILLON;12;720;720;720;720;720;720;720;720;720;720;720
297;ROYBON;78;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680;4680
298;ST MARCELLIN BP;63;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780;3780
299;ST CHEF;12;720;720;720;720;720;720;720;720;720;720;720
300;ST CLAIR DU RHONE;5;300;300;300;300;300;300;300;300;300;300;300
301;ST ETIENNE DE ST GEOIRS;65;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900;3900
302;ST GEOIRE EN VALDAINE;25;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
303;TULLINS ILOT FACTEUR;46;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760;2760
304;ST HILAIRE DU ROSIER;61;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660;3660
305;SAINT-HILAIRE;53;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180;3180
306;ST ISMIER;85;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100;5100
307;ST JEAN DE BOURNAY;29;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740;1740
308;ST LAURENT DU PONT;33;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980;1980
